match_number,batsman,runs_scored,balls_faced,fours,sixes,strike_rate,bowler,balls_bowled,runs_conceded,wickets,overs,economy
10,M Morkel,25.0,18.0,3.0,1.0,138.89,M Morkel,47.0,80.0,caught,7.5,10.67
10,MA Khote,8.0,7.0,1.0,0.0,114.29,MA Khote,12.0,22.0,0,2.0,11.0
10,MG Johnson,4.0,5.0,0.0,0.0,80.0,MG Johnson,72.0,122.0,caughtcaughtcaught,12.0,10.17
10,MM Patel,0.0,2.0,0.0,0.0,0.0,MM Patel,37.0,61.0,caught,6.1,10.0
10,Mustafizur Rahman,3.0,5.0,0.0,0.0,60.0,Mustafizur Rahman,42.0,60.0,caughtcaughtcaught,7.0,8.57
10,N Rana,82.0,66.0,7.0,4.0,124.24,N Rana,6.0,9.0,0,1.0,9.0
10,NLTC Perera,8.0,9.0,1.0,0.0,88.89,NLTC Perera,16.0,30.0,0,2.4,12.5
10,PJ Cummins,6.0,2.0,0.0,1.0,300.0,PJ Cummins,26.0,34.0,caught,4.2,8.1
10,PP Chawla,12.0,6.0,1.0,1.0,200.0,PP Chawla,73.0,72.0,bowledcaughtbowledbowled,12.1,5.95
10,PV Tambe,2.0,2.0,0.0,0.0,100.0,PV Tambe,25.0,27.0,caught,4.1,6.59
10,R Ashwin,10.0,18.0,1.0,0.0,55.56,R Ashwin,48.0,54.0,caughtrun out,8.0,6.75
10,R Bhatia,27.0,22.0,2.0,1.0,122.73,R Bhatia,48.0,43.0,caughtrun outcaught,8.0,5.38
10,R Sharma,10.0,11.0,0.0,1.0,90.91,R Sharma,24.0,21.0,caught,4.0,5.25
10,R Tewatia,14.0,9.0,1.0,1.0,155.56,R Tewatia,12.0,22.0,0,2.0,11.0
10,R Vinay Kumar,26.0,30.0,0.0,1.0,86.67,R Vinay Kumar,69.0,62.0,caughtcaughtcaught and bowled,11.3,5.49
10,RA Jadeja,105.0,96.0,5.0,3.0,109.38,RA Jadeja,55.0,68.0,caughtcaught and bowledcaughtbowledcaughtrun out,9.1,7.47
10,RN ten Doeschate,3.0,4.0,0.0,0.0,75.0,RN ten Doeschate,21.0,24.0,caught,3.3,7.27
10,RP Singh,0.0,1.0,0.0,0.0,0.0,RP Singh,18.0,30.0,0,3.0,10.0
10,Rashid Khan,2.0,5.0,0.0,0.0,40.0,Rashid Khan,73.0,81.0,lbwlbw,12.1,6.69
10,S Nadeem,2.0,3.0,0.0,0.0,66.67,S Nadeem,18.0,26.0,0,3.0,8.67
10,S Narwal,0.0,1.0,0.0,0.0,0.0,S Narwal,19.0,24.0,0,3.1,7.74
10,S Sreesanth,1.0,7.0,0.0,0.0,14.29,S Sreesanth,48.0,52.0,caughthit wicket,8.0,6.5
10,SC Ganguly,46.0,34.0,4.0,2.0,135.29,SC Ganguly,18.0,24.0,0,3.0,8.0
10,SK Raina,4.0,9.0,0.0,0.0,44.44,SK Raina,12.0,6.0,0,2.0,3.0
10,SK Warne,6.0,9.0,0.0,0.0,66.67,SK Warne,38.0,37.0,caughtcaught,6.2,5.97
10,SM Pollock,22.0,21.0,2.0,1.0,104.76,SM Pollock,25.0,40.0,caught,4.1,9.76
10,SN Thakur,2.0,6.0,0.0,0.0,33.33,SN Thakur,27.0,42.0,0,4.3,9.77
10,SP Narine,56.0,34.0,3.0,5.0,164.71,SP Narine,49.0,57.0,caughtbowledcaught,8.1,7.04
10,SR Watson,7.0,6.0,0.0,1.0,116.67,SR Watson,6.0,5.0,0,1.0,5.0
10,STR Binny,8.0,11.0,0.0,0.0,72.73,STR Binny,6.0,10.0,caught,1.0,10.0
10,Shakib Al Hasan,57.0,52.0,3.0,2.0,109.62,Shakib Al Hasan,58.0,68.0,caughtcaught and bowledbowledcaught,9.4,7.23
10,Shivam Mavi,7.0,8.0,0.0,0.0,87.5,Shivam Mavi,6.0,10.0,0,1.0,10.0
10,TG Southee,4.0,4.0,1.0,0.0,100.0,TG Southee,25.0,27.0,0,4.1,6.59
10,UT Yadav,5.0,4.0,1.0,0.0,125.0,UT Yadav,21.0,29.0,0,3.3,8.79
10,V Kohli,102.0,93.0,7.0,4.0,109.68,V Kohli,6.0,13.0,0,1.0,13.0
10,V Shankar,14.0,22.0,1.0,0.0,63.64,V Shankar,7.0,14.0,run out,1.1,12.73
10,VRV Singh,4.0,2.0,1.0,0.0,200.0,VRV Singh,25.0,40.0,caught,4.1,9.76
10,WD Parnell,1.0,6.0,0.0,0.0,16.67,WD Parnell,25.0,36.0,bowledcaughtcaughtrun out,4.1,8.78
10,Washington Sundar,16.0,29.0,0.0,0.0,55.17,Washington Sundar,55.0,56.0,caughtcaught,9.1,6.15
10,YK Pathan,104.0,61.0,10.0,7.0,170.49,YK Pathan,28.0,29.0,0,4.4,6.59
10,Yuvraj Singh,85.0,71.0,7.0,4.0,119.72,Yuvraj Singh,13.0,21.0,0,2.1,10.0
10,Z Khan,11.0,7.0,1.0,0.0,157.14,Z Khan,24.0,31.0,caughtcaught,4.0,7.75
11,A Ashish Reddy,13.0,9.0,0.0,1.0,144.44,A Ashish Reddy,6.0,5.0,0,1.0,5.0
11,A Kumble,5.0,3.0,1.0,0.0,166.67,A Kumble,24.0,19.0,caught,4.0,4.75
11,A Mishra,6.0,3.0,1.0,0.0,200.0,A Mishra,88.0,131.0,caughtcaughtcaughtcaught,14.4,9.1
11,A Nortje,3.0,3.0,0.0,0.0,100.0,A Nortje,48.0,85.0,0,8.0,10.62
11,AB Agarkar,11.0,9.0,1.0,0.0,122.22,AB Agarkar,18.0,20.0,caught,3.0,6.67
11,AR Patel,7.0,15.0,0.0,0.0,46.67,AR Patel,61.0,88.0,bowled,10.1,8.71
11,Abhishek Sharma,1.0,1.0,0.0,0.0,100.0,Abhishek Sharma,25.0,34.0,0,4.1,8.29
11,Azhar Mahmood,8.0,7.0,0.0,0.0,114.29,Azhar Mahmood,25.0,34.0,0,4.1,8.29
11,BA Stokes,27.0,22.0,2.0,1.0,122.73,BA Stokes,20.0,33.0,bowled,3.2,10.31
11,C de Grandhomme,37.0,32.0,3.0,2.0,115.62,C de Grandhomme,20.0,32.0,caught,3.2,10.0
11,CJ Jordan,5.0,5.0,0.0,0.0,100.0,CJ Jordan,25.0,23.0,run outcaughtcaught,4.1,5.61
11,CR Woakes,0.0,1.0,0.0,0.0,0.0,CR Woakes,71.0,121.0,caughtcaughtcaughtcaughtcaught,11.5,10.52
11,D Pretorius,8.0,4.0,0.0,1.0,200.0,D Pretorius,28.0,31.0,caughtcaught,4.4,7.05
11,D Wiese,5.0,4.0,0.0,0.0,125.0,D Wiese,27.0,49.0,0,4.3,11.4
11,DJ Bravo,22.0,32.0,1.0,0.0,68.75,DJ Bravo,52.0,64.0,caughtcaughtcaughtcaught,8.4,7.62
11,DJ Hooda,22.0,13.0,0.0,2.0,169.23,DJ Hooda,25.0,29.0,0,4.1,7.07
11,DJ Hussey,41.0,38.0,4.0,1.0,107.89,DJ Hussey,6.0,10.0,0,1.0,10.0
11,DJM Short,11.0,18.0,1.0,0.0,61.11,DJM Short,6.0,10.0,caught,1.0,10.0
11,DL Vettori,3.0,6.0,0.0,0.0,50.0,DL Vettori,24.0,29.0,0,4.0,7.25
11,DT Christian,0.0,1.0,0.0,0.0,0.0,DT Christian,26.0,24.0,caught,4.2,5.71
11,GJ Maxwell,25.0,14.0,3.0,1.0,178.57,GJ Maxwell,6.0,18.0,0,1.0,18.0
11,I Sharma,4.0,3.0,0.0,0.0,133.33,I Sharma,78.0,96.0,caught,13.0,7.38
11,JA Morkel,8.0,11.0,0.0,0.0,72.73,JA Morkel,44.0,71.0,caught,7.2,9.86
11,JD Ryder,32.0,21.0,6.0,0.0,152.38,JD Ryder,12.0,24.0,0,2.0,12.0
11,JH Kallis,105.0,91.0,7.0,3.0,115.38,JH Kallis,50.0,77.0,lbwrun outcaught,8.2,9.39
11,JJ van der Wath,0.0,1.0,0.0,0.0,0.0,JJ van der Wath,27.0,30.0,caught,4.3,6.98
11,JM Kemp,4.0,9.0,0.0,0.0,44.44,JM Kemp,6.0,15.0,0,1.0,15.0
11,JP Faulkner,6.0,5.0,1.0,0.0,120.0,JP Faulkner,14.0,20.0,0,2.2,9.09
11,K Rabada,27.0,21.0,2.0,1.0,128.57,K Rabada,92.0,137.0,caughtcaughtcaughtcaughtbowled,15.2,9.01
11,KH Pandya,43.0,25.0,4.0,2.0,172.0,KH Pandya,18.0,26.0,0,3.0,8.67
11,KP Pietersen,43.0,28.0,3.0,2.0,153.57,KP Pietersen,24.0,33.0,run out,4.0,8.25
11,Kuldeep Yadav,3.0,7.0,0.0,0.0,42.86,Kuldeep Yadav,24.0,31.0,caught,4.0,7.75
11,LR Shukla,42.0,35.0,4.0,1.0,120.0,LR Shukla,12.0,19.0,0,2.0,9.5
11,LS Livingstone,88.0,53.0,7.0,7.0,166.04,LS Livingstone,19.0,25.0,caughtcaught and bowled,3.1,8.06
11,Lalit Yadav,50.0,31.0,7.0,0.0,161.29,Lalit Yadav,6.0,11.0,0,1.0,11.0
11,M Kartik,3.0,3.0,0.0,0.0,100.0,M Kartik,18.0,34.0,0,3.0,11.33
11,MM Ali,2.0,10.0,0.0,0.0,20.0,MM Ali,24.0,37.0,0,4.0,9.25
