batsman,total_runs,total_balls_faced,total_fours,total_sixes,strike_rate,total_balls_bowled,total_runs_conceded,total_wickets,overs_bowled,economy
Sumit Kumar,9.0,17.0,0.0,1.0,52.94,22.0,38.0,2,3.4,10.36
Sunny Gupta,0.0,1.0,0.0,0.0,0.0,19.0,47.0,1,3.1,14.84
Swapnil Singh,51.0,46.0,3.0,3.0,110.87,104.0,158.0,9,17.2,9.12
T Henderson,11.0,16.0,0.0,1.0,68.75,36.0,41.0,2,6.0,6.83
T Natarajan,3.0,5.0,0.0,0.0,60.0,101.0,145.0,2,16.5,8.61
T Shamsi,2.0,4.0,0.0,0.0,50.0,24.0,34.0,1,4.0,8.5
T Stubbs,111.0,70.0,6.0,7.0,158.57,24.0,46.0,3,4.0,11.5
T Thushara,12.0,19.0,0.0,0.0,63.16,101.0,117.0,4,16.5,6.95
TA Boult,84.0,84.0,5.0,3.0,100.0,1116.0,1514.0,19,186.0,8.14
TG Southee,120.0,108.0,8.0,4.0,111.11,605.0,837.0,15,100.5,8.3
TK Curran,127.0,108.0,10.0,3.0,117.59,195.0,333.0,10,32.3,10.25
TL Suman,229.0,188.0,18.0,10.0,121.81,152.0,198.0,11,25.2,7.82
TM Dilshan,663.0,602.0,73.0,16.0,110.13,275.0,368.0,18,45.5,8.03
TM Head,184.0,127.0,12.0,8.0,144.88,58.0,113.0,6,9.4,11.69
TS Mills,8.0,14.0,0.0,1.0,57.14,120.0,189.0,5,20.0,9.45
TU Deshpande,21.0,15.0,2.0,1.0,140.0,86.0,130.0,4,14.2,9.07
Tilak Varma,202.0,163.0,11.0,11.0,123.93,23.0,28.0,4,3.5,7.3
UT Yadav,208.0,211.0,16.0,9.0,98.58,2105.0,2996.0,34,350.5,8.54
Umar Gul,39.0,19.0,1.0,5.0,205.26,97.0,122.0,4,16.1,7.55
Umran Malik,23.0,16.0,1.0,2.0,143.75,88.0,155.0,5,14.4,10.57
V Kohli,2904.0,2363.0,246.0,100.0,122.89,264.0,371.0,25,44.0,8.43
V Nigam,39.0,16.0,5.0,2.0,243.75,12.0,35.0,1,2.0,17.5
V Pratap Singh,0.0,1.0,0.0,0.0,0.0,25.0,29.0,1,4.1,6.96
